additional_info,address,area,city,country,crawl_date,guest_recommendation,hotel_brand,hotel_category,hotel_description,hotel_facilities,hotel_star_rating,image_count,latitude,locality,longitude,pageurl,point_of_interest,property_id,property_name,property_type,province,qts,query_time_stamp,review_count_by_category,room_area,room_count,room_facilities,room_type,similar_hotel,site_review_count,site_review_rating,site_stay_review_rating,sitename,state,uniq_id
Room Service,"Diana Restaurant and Hotels ,UDUPI Private Limited Jodukatte Ajjarkad","Diana Restaurant And Hotels ,Udupi Private Limited Jodukatte Ajjarkad",Udupi,India,2016-08-07,"",null,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Parking Facilities Available|Front Desk|Room Service,0,7,13.3371151,"Diana Restaurant And Hotels ,Udupi Private Limited Jodukatte Ajjarkad",74.746596,http://www.goibibo.com/hotels/detail/Udupi/hn/6189773013719251991/7051893117732161471/na/hq/,"Diana Restaurant And Hotels ,Udupi Private Limited Jodukatte Ajjarkad|Anantheshwar Temple",HTLGBO1000076678,Diana Hotel,Hotel,Udupi,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,"","",12,Room Service |Basic Bathroom Amenities|Ceiling Fan|Telephone,deluxe room,https://www.goibibo.com/hotels/summer-park-hotel-in-Udupi-4145843161296225615|https://www.goibibo.com/hotels/srinivasa-residency-hotel-in-Udupi-684599655400378130|https://www.goibibo.com/hotels/malpe-sea-front-cottage-hotel-in-Udupi-6019637573034133963|https://www.goibibo.com/hotels/sagar-kinara-beach-resort-hotel-in-Udupi-1987223544190619701|https://www.goibibo.com/hotels/century-executive-hotel-in-Udupi-6290662347755671622|https://www.goibibo.com/hotels/akuna-matata-hotel-in-Udupi-5855563942157824664|https://www.goibibo.com/hotels/ayaan-comforts-hotel-in-Udupi-7240216479814539081|https://www.goibibo.com/hotels/sharada-international-hotels--hotel-in-Udupi-439285069264922384|https://www.goibibo.com/hotels/swadesh-heritage-hotel-in-Udupi-2525897693393228602|https://www.goibibo.com/hotels/parnakuti-homestay-hotel-in-Udupi-8719662536946691283|https://www.goibibo.com/hotels/sg-lake-resort-hotel-in-Udupi-7586869246347559177|https://www.goibibo.com/hotels/paradise-lagoon-hotel-in-Udupi-4475856847358774220|https://www.goibibo.com/hotels/jewel-park-hotel-hotel-in-Udupi-5251605387479596154,"","",Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Karnataka,e0333fcd3c6cf13c5a3666ace8c87f62
"","Kalachakra maidan Rd, Bodhgaya, Bihar",Maha Bodhi Temple Area,Bodh Gaya,India,2016-08-07,"",null,regular,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"",0,7,24.6979959,Maha Bodhi Temple Area,84.9886402,http://www.goibibo.com/hotels/detail/Bodh Gaya/hn/111111111190171702/967751421132054803/na/hq/,Shaivite Monastery|Mahabodhi Temple|Bodhi Tree|Maha Bodhi Temple Area|Tibetan Monastery|Bodhgaya Archaeological Museum,HTLGBO1000056058,Dhamma Guest House,Guest House,Bodh Gaya,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,"","",8,Room Service,Four Bed Room,https://www.goibibo.com/hotels/swagat-guest-house-hotel-in-Bodhgaya-2674786639949631243|https://www.goibibo.com/hotels/prince-hotel-in-Bodh Gaya-3141220532889579187|https://www.goibibo.com/hotels/vishal-international-hotel-in-Bodhgaya-2561169443743350804|https://www.goibibo.com/hotels/tathagat-international-hotel-in-Bodhgaya-3945523425023477885|https://www.goibibo.com/hotels/ramaguesthouse-hotel-in-Bodhgaya-5270458860382043541|https://www.goibibo.com/hotels/shiva-hotel-in-Bodh Gaya-4927538724450576449|https://www.goibibo.com/hotels/shanti-hotel-in-Bodh Gaya-8778958465961969515|https://www.goibibo.com/hotels/jeevak-international-hotel-in-Bodhgaya-4186033524455553244|https://www.goibibo.com/hotels/happy-international-guest-house-hotel-in-Bodhgaya-2916044195363528606|https://www.goibibo.com/hotels/om-international-hotel-in-Bodhgaya-944779437538156887|https://www.goibibo.com/hotels/kusum-guest-house-hotel-in-Bodh Gaya-3347752331405026434,"","",Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Bihar,189e97aae2daf0f3b32b96875ee03ad8
Internet Access,"T.C. 68/1951, Pachalloor P.O., Kovalam Thiruvananthapuram Kerala, India",Kovalam Po,Thiruvananthapuram,India,2016-08-07,"",null,regular,The standard check-in time is 12:00 PM and the standard check-out time is 01:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Laundry Service Available|Library|Guide / Sightseeing Service|Internet Access,0,8,8.4266349,Kovalam Po,76.9614255,http://www.goibibo.com/hotels/detail/Thiruvananthapuram/hn/3877384277955108166/2864765247719405739/na/hq/,Kovalam Po|Trivandrum International Airport,HTLGBO1000039336,Devikripa Homestay,Homestay,Thiruvananthapuram,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,"","",1,Room Service |Balcony / Terrace|Basic Bathroom Amenities|Kitchenette,Deluxe Villa Room,https://www.goibibo.com/hotels/the-water's-edge-beach-resort-hotel-in-Kovalam-7996678329780337220|https://www.goibibo.com/hotels/gopal's-ayurvedic-centre-&-beach-resort-hotel-in-Thiruvananthapuram-3027608428434089144|https://www.goibibo.com/hotels/ayur-hermitage-hotel-in-Kovalam-4442200643013406461|https://www.goibibo.com/hotels/beach-&-lake-ayurvedic-resort-hotel-in-Kovalam-8994295890802762513|https://www.goibibo.com/hotels/paradise-gardens-beach-resort-hotel-in-Thiruvananthapuram-7043414762983916730|https://www.goibibo.com/hotels/wintro-hotel-in-Thiruvananthapuram-8199137070467262898|https://www.goibibo.com/hotels/sj-beach-hotel-hotel-in-Thiruvananthapuram-2559210638844588673|https://www.goibibo.com/hotels/vivanta-by-taj-kovalam-thiruvananthapuram-hotel-in-Kovalam-1769596281103132732|https://www.goibibo.com/hotels/oceana-home-stay-hotel-in-Thiruvananthapuram-2908121878018145809|https://www.goibibo.com/hotels/lagoona-beach-resort-hotel-in-Thiruvananthapuram-501747913770805815,"","",Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Kerala,de95326eb14823853ddee03922cc4f52
Room Service|Internet Access|Gym/Spa,"Perintalmanna,Pulamanthole (Po),Malappuram District",Perinthalmanna,Malappuram,India,2016-08-07,80,null,regular,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly **** Compulsory Supplement Charges to be Paid **** Mandatory New Year Gala Dinner Charges on 31st Dec at Rs.1500 per person,to be paid at the hotel directly at the time of check in. Mandatory Christmas Gala Dinner charges on 24th Dec at Rs.1500 per person,to be paid at the hotel directly at the time of check in.",Doctor on Call|Health Club / Gym Facility Available|Internet Access - Surcharge|Room Service |Conference Facility,3,9,10.9834249,Perinthalmanna,76.2208867,http://www.goibibo.com/hotels/detail/Malappuram/hn/4307696439651398882/8475131969181016377/na/hq/,Perinthalmanna,HTLGBO1000003700,Emarald Ayurveda Resort (45 Mints From Calicut Airport),Resort,Malappuram,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,positive reviews::4|critical reviews::1|reviews with images::4,"",30,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone| Hot / Cold Running Water,Deluxe Room,https://www.goibibo.com/hotels/hiton-hotel-hotel-in-Malappuram-4788855155029502263|https://www.goibibo.com/hotels/kumaragiri-farm-and-nature-camp-hotel-in-Malappuram-1127333213629859134|https://www.goibibo.com/hotels/metro-regency-hotel-in-Malappuram-852417659494246355,5,3.4,Service Quality::3.8|Amenities::3.5|Food and Drinks::5.0|Value for Money::3.5|Location::4.0|Cleanliness::5.0,goibibo,Kerala,6e9553a61459556202095f58f236b0b2
Room Service|Internet Access,"Dreams Palm Beach Resort, Umtta Vaddo, Near Calangute Beach, Bardez",Calangute Area,Goa,India,2016-08-07,73,null,regular,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly AS PER GOVERNMENT DIRECTIVES IT IS MANDATORY FOR ALL GUEST TO SHOW THEIR PHOTO ID AT CHECK IN, WHICH CAN BE IN FORM OF PASSPORT AND VISA COPY/ DRIVING LICENSE/ VOTER ID CARD FAILING WHICH THE HOTEL RESERVES THE RIGHT OF REFUSAL.","Airport Transfer Available / Surcharge|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Local Tour / Travel Desk|Luggage Storage|Power Backup|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Taxi Services|Food Facility|Room Service (24 Hours)|Parking (Surcharge)|Guide / Sightseeing Service|Parking Facility|Internet Access|Room Service|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Paid Transfers",2,17,15.5449921337,Calangute Area,73.7576598927,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/996905128890517746/na/hq/,"Calangute Beach|Calangute Area|Baga Beach|Titos lane, baga|Calangute Bus Stand|North Goa",HTLGBO1000043812,Dreams Palm Beach Resort,Hotel,Goa,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,positive reviews::99|critical reviews::47|reviews with images::18,"",15,Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Attached Bathroom,SUPER DELUXE ROOM,https://www.goibibo.com/hotels/sun-flower-beach-resort-hotel-in-Goa-2977902805828440736|https://www.goibibo.com/hotels/la-baga-beach-hotel-hotel-in-Goa-359542027184165900|https://www.goibibo.com/hotels/br-holiday-resort--hotel-in-Goa-4967802679633828554|https://www.goibibo.com/hotels/ocean-star-holiday-home-hotel-in-Goa-1070332065967162991|https://www.goibibo.com/hotels/purushottam-residency--hotel-in-Goa-1139165068841810678|https://www.goibibo.com/hotels/angela-guest-house-hotel-in-Goa-1076889260301440833|https://www.goibibo.com/hotels/reliance-holiday-home--hotel-in-Goa-2257685795340310914|https://www.goibibo.com/hotels/embassy-suites-hotel-in-Goa-5755430481446210593|https://www.goibibo.com/hotels/calangute-annexe-hotel-in-Goa-1320482493737519,146,3.5,Service Quality::3.5|Amenities::3.4|Food and Drinks::3.1|Value for Money::3.7|Location::4.0|Cleanliness::3.4,goibibo,Goa,0381d945084df67e6152d7b9a66d35a5
"","KT Krupal,  Sri Manjunatha Rice Mills,  Gabadi, Tudur Post,  Thirthalli Taluk,Shimoga District",Thirthahalli Taluk,Shimoga,India,2016-08-07,"",null,regular,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates, extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Parking Facilities Available|Taxi Services|Food Facility,0,3,13.9299299,Thirthahalli Taluk,75.568101,http://www.goibibo.com/hotels/detail/Shimoga/hn/2510520520918709430/8789435535326796290/na/hq/,Thirthahalli Taluk|Mandagadde Bird Sanctuary|Jog Falls|Kodachadri Hill|Shivappanaika Palace Museum,HTLGBO1000064282,Gabadi River Edge Resort,Resort,Shimoga,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,"","",3,Basic Bathroom Amenities|Ceiling Fan,Standard Room(Non-AC),"https://www.goibibo.com/hotels/kodachadri-home-stay-hotel-in-Shimoga-7565424516724077903|https://www.goibibo.com/hotels/barekal-farmstay-hotel-in-Shimoga-2719062335491500369|https://www.goibibo.com/hotels/sri-ambika-home-stay-hotel-in-Shimoga-3829871389692462738|https://www.goibibo.com/hotels/devangi-atithya-homestay-hotel-in-Shimoga-6765938763519858479|https://www.goibibo.com/hotels/silver-hill-farm-hotel-in-Shimoga-1321049471021566978|https://www.goibibo.com/hotels/hingaara-nature-stay-hotel-in-Shimoga-6414124580197765737|https://www.goibibo.com/hotels/kodachadri-homestay,nittur-hotel-in-Shimoga-744591819947886814|https://www.goibibo.com/hotels/chitrakuta-meadows-hotel-in-Shimoga-3707543532314372127|https://www.goibibo.com/hotels/stay@matthuga-hotel-in-Shimoga-5094624113221333597|https://www.goibibo.com/hotels/vihangama-holiday-retreat-hotel-in-Shimoga-2753703301021466463|https://www.goibibo.com/hotels/padmasri-home-stay-hotel-in-Shimoga-6265162677709776537|https://www.goibibo.com/hotels/royal-orchid-central-hotel-in-Shimoga-7431230741273276543","","",Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Karnataka,e32c118b28111ef8d767b53ab407f8d6
Room Service|Internet Access|Restaurant,"Hotel Majestica 2-41/2/A, Sy.4, 2nd Floor, Pavan Priyanka Plaza, Kothaguda X Road, Kondapur",Hi-Tech City,Hyderabad,India,2016-08-07,84,FabHotels,regular,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Our Inns reserve the right to admission. Accommodation can be denied to the guests posing as a couple if suitable identification and a non-local address proof is not presented at check-in. MAP plan includes limited menu meal.,Banquet Facilities|Doctor on Call|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Doorman|Air-Conditioning - Central|Power Backup|Gardens|Multi Lingual Staff|Wake-up Call / Service|Separate Sitting Area|Conference Facility |Smoking Rooms|Fire Place Available |Board Room|Food Facility|Newspapers In Lobby|Whirlpool Bath / Shower Cubicle|Internet / Fax (Reception area only)|Parking Facility|Internet Access|Restaurant|Room Service|Fire Safety|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Speciality Restaurant,3,28,17.4606782113,Hi-Tech City,78.3663692549,http://www.goibibo.com/hotels/detail/Hyderabad/hn/2162254155836171767/8748185299023821306/na/hq/,Shilparamam|Cyber Tower|Hi-Tech City,HTLGBO1000068948,FabHotel Majestica Inn Hitec City,Hotel,Hyderabad,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,positive reviews::84|critical reviews::12|reviews with images::15,15 X 15 Sq.ft.,60,"Room Service |Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Internet Connection In Room|Shower Facility Available|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Premium Amenities / Toiletries|Safe - In - Room |HD / LCD Satellite TV |Sofa Table / Extra Seats |Soundproof Windows|Luggage Rack|Attached Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|In-room Storage Space|In-Room Safe|Phone Messaging Services|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms",Deluxe room with free Wifi,https://www.goibibo.com/hotels/swagath-residency---kondapur-hotel-in-Hyderabad-8346923184547510331|https://www.goibibo.com/hotels/swagath-de-royal--hotel-in-Hyderabad-6379191862896337385|https://www.goibibo.com/hotels/lake-view-homes-hotel-in-Hyderabad-2925245321972562315,96,4.1,Service Quality::3.9|Amenities::4.1|Food and Drinks::4.1|Value for Money::4.3|Location::4.4|Cleanliness::4.4,goibibo,Andhra Pradesh,36bd68c1744733b6d46166cf495ed361
"",T 26 Block Dlf Phase 3,DLF Phase I I I,Gurgaon,India,2016-08-07,"",null,regular,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas  New year dates, High season  long weekend dates  extra supplement will be charged over  above the paid rates as per actual  hotel discretion.",Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup,0,1,28.4916812,DLF Phase I I I,77.094897,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/8783189102354639076/na/hq/,Dlf Phase I I I|Sahara Mall|Guru Dronacharya Metro Station|Sikandarpur Metro Station|Vipul Agora Mall|Fluid Gym|Ambience Mall|MG Road metro Station,HTLGBO1000059152,First Choice Service Apartment,Service Apartment,Gurgaon,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,"","",14,"",Executive  Room,https://www.goibibo.com/hotels/enkay-residency-v-block-hotel-in-Gurgaon-7518760835958888593|https://www.goibibo.com/hotels/amazone-residency-hotel-in-Gurgaon-2974640650998293097|https://www.goibibo.com/hotels/corpotel-cyber-city--hotel-in-Gurgaon-3215691480024500282|https://www.goibibo.com/hotels/roc-premium-ambience-mall-hotel-in-Gurgaon-346070081677772220,"","",Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Haryana,b13eefac6a37bfad34524de1c1450370
"","House No 15,20, Beside Krishna Apartment, Ram Krishna Path, North Srikrishna Puri.",Boring Road,Patna,India,2016-08-07,100,null,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly payment should be transfer before guest leave on guest house.,Business Center |Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup|Gardens|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Public Restrooms|Suites,3,13,25.5940947,Boring Road,85.1375645,http://www.goibibo.com/hotels/detail/Patna/hn/1074493438533185937/3854853943407997819/na/hq/,Lok Nayak Jayaprakash Airport|Boring Road|Patna Museum|Patna Railway Station|Phulwari Sharif|Mahavir Mandir,HTLGBO1000049904,Executive Holiday,Guest House,Patna,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,positive reviews::3|critical reviews::0|reviews with images::1,"",82,Room Service |TV|Attached Bathroom,Deluxe,https://www.goibibo.com/hotels/nisa-hotel-in-Patna-423500617037759040|https://www.goibibo.com/hotels/city-centre-hotel-in-Patna-8745580343043568555|https://www.goibibo.com/hotels/d.p.international-hotel-in-Patna-6428173330965712720|https://www.goibibo.com/hotels/buddha-international--hotel-in-Patna-526751418520593049|https://www.goibibo.com/hotels/abhimit-residency-hotel-in-Patna-8788315125814846606|https://www.goibibo.com/hotels/brij--hotel-in-Patna-3606056989423265187|https://www.goibibo.com/hotels/the-sai-tents-hotel-in-Dinapur Nizamat-8851957347918805322|https://www.goibibo.com/hotels/chanakya-hotel-in-Patna-6085735718263144463|https://www.goibibo.com/hotels/chanakya-inn-hotel-in-Patna-8638270753106785347|https://www.goibibo.com/hotels/the-sai-residence--hotel-in-Patna-3220427704164997903|https://www.goibibo.com/hotels/patliputra-nirvana-hotel-in-Patna-194220543485201976|https://www.goibibo.com/hotels/mani-international-hotel-in-Patna-5809505524293408515,3,4.2,Service Quality::4.2|Amenities::4.2|Food and Drinks::5.0|Value for Money::3.9|Location::3.5|Cleanliness::5.0,goibibo,Bihar,e70a34391e4b772188c3d305bcf592c4
Room Service,"Madho Kunj, Sunil, Auli Road",Auli Road,Joshimath,India,2016-08-07,"",null,regular,The standard check-in time is 11:00 AM and the standard check-out time is 02:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ID cards are mandatory during the time check in.,Doctor on Call|Parking Facilities Available|Front Desk|Locker Facility|Food Facility|Family Room|Parking Facility|Room Service|Fire Safety|Anti-Slip Ramps|Fire Exit Signs|First-Aid Kit at Front Desk|Public Restrooms,0,13,30.554990243,Auli Road,79.5514856504,http://www.goibibo.com/hotels/detail/Joshimath/hn/8375000177841317785/3786668722644817094/na/hq/,Auli Road|Joshimath,HTLGBO1000077054,Dream Mountain Resort,Lodge,Joshimath,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,"","",10,Telephone|Breakfast Available|TV|Room Heater|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Sufficient Lighting,Deluxe,"https://www.goibibo.com/hotels/auli-d-hotel-in-Joshimath-8160568844808530738|https://www.goibibo.com/hotels/mount-view-hotel-in-Joshimath-825943781775204473|https://www.goibibo.com/hotels/manik-palace-hotel-in-Chamoli-9086430232004251023|https://www.goibibo.com/hotels/himalayan-eco-lodge,auli-hotel-in-Auli-9177197229835088838|https://www.goibibo.com/hotels/sri-nanda-lokpal-palace-hotel-in-Chamoli-8048761844256417238|https://www.goibibo.com/hotels/new-kamet-hotel-in-Joshimath-7823402433553794736|https://www.goibibo.com/hotels/the-tattva-hotel-in-Joshimath-6777483627454673086","","",Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Uttarakhand,29074665cacb63aeccb77ff4b45e4e91
Room Service|Internet Access,"9236, c9, Vasant Kunj",Vasant Kunj,Delhi,India,2016-08-07,"",null,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Govt Id's are mandatory at the time of check in,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Power Backup|Express Check-In / Check-Out|Audio - Visual Equipment|Fax Machine|Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Taxi Services|Newspapers In Lobby|Children's Park|Room Service (24 Hours)|Baggage Room|Parking Facility|Internet Access|Room Service|CCTV|First-Aid Kit at Front Desk|Public Restrooms|Stamps and Mailing Facility,0,10,28.5273352,Vasant Kunj,77.1515453,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/8462488271168274314/na/hq/,South Delhi|Vasant Kunj,HTLGBO1000098694,Diplomat Home stay,Hotel,Delhi,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,"",12 X 13 Sq.ft.,4,"Room Service |Air Conditioning |Alarm Clock|Iron / Ironing board available|Internet Connection In Room|Shower Facility Available|Breakfast Available (surcharge)|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Premium Beddings / Hypo-Allergenic |Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Safe - In - Room |Wardrobe|Mirror|Dressing Area|Luggage Rack|Curtains/Shades|Daily Room Cleaning|Dustbins|In-room Storage Space|In-Room Safe",Luxury Room,https://www.goibibo.com/hotels/v.m.-residency--hotel-in-Delhi-5451329940840394058|https://www.goibibo.com/hotels/neo-zone-service-apartment-hotel-in-Delhi-3670342077891901856|https://www.goibibo.com/hotels/indira-international-inn-hotel-in-Delhi-3281225363138720366|https://www.goibibo.com/hotels/malik-continental-hotel-in-Delhi-6903984754229879882|https://www.goibibo.com/hotels/apartment-171-hotel-in-Delhi-7841699611832945154,"","",Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Delhi,1025676d3a804a31dac33af6559ecb95
Room Service|Internet Access,"401, 402 Narayan Krupa Acarde Behind Safal Pagasus, Anandnagar Road, Prahlad Nagar",Ring Road,Ahmedabad,India,2016-08-07,"",null,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid ID proof is required at the time  of check in for all guests. Unmarried couples are not allowed. *VALID IDENTIFICATION DOCUMENTS/ PROOF IS MANDATORY *IN CASE OF ANY UNUSUAL/IMPROPER/SUSPICIOUS ACT HOTEL CAN CANCEL ROOM  *CHECK INN AND CHECK OUT IS 12:00 NOON AFTER THAT HALF DAY CHARGES APPLICABLE *PETS ARE NOT ALLOWED,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Luggage Storage|Wake-up Call / Service|Room Service,0,29,23.0119698,Ring Road,72.5098864,http://www.goibibo.com/hotels/detail/Ahmedabad/hn/6067246467661897899/376816852596573244/na/hq/,Indian Institute of Management|Ring Road|Vastrapur Railway Station,HTLGBO1000036302,"Elis Hospitality Service Apartment,Prahladnagar",Service Apartment,Ahmedabad,2016-08-07 00:58:33 +0000,2016-08-07 00:58:33 +0000,"","",2,Room Service |Basic Bathroom Amenities|Ceiling Fan|Telephone| Hot / Cold Running Water|Housekeeping|TV|Mirror|Luggage Rack|Attached Bathroom|Dustbins|Western Toilet Seat,Executive Room,"https://www.goibibo.com/hotels/ramada-ahmedabad-hotel-in-Ahmedabad-8857370258968308123|https://www.goibibo.com/hotels/platinum-residency-hotel-in-Ahmedabad-5152922100233711396|https://www.goibibo.com/hotels/elis-hospitality-narayan-krupa-arcade-hotel-in-Ahmedabad-5077131278176826488|https://www.goibibo.com/hotels/elis-hospitality-shaym-sundar-banglow-hotel-in-Ahmedabad-534267202148207249|https://www.goibibo.com/hotels/relax-inn-hotel-in-Ahmedabad-4990540801816559311|https://www.goibibo.com/hotels/maple-tree-service-apartments-s-g-highway-prahaladnagar-hotel-in-Ahmedabad-6924706050453242927|https://www.goibibo.com/hotels/scarlet-heights-by-maple-tree-hotel-in-Ahmedabad-1866911164772868681|https://www.goibibo.com/hotels/treebo-rajdeep-inn-hotel-in-Ahmedabad-7453679248356443878|https://www.goibibo.com/hotels/10-blossoms-service-apartments,prahladnagar,ahm-hotel-in-Ahmedabad-176671954328379120","","",Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Gujarat,04031a1a6a4916709eadaf84a86b784e
